Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
436,Axim,GH,78.66,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
437,Barreiras,BR,70.41,broken clouds,-12.1528,-44.99,Príncipe Hotel
443,Diffa,NE,67.57,few clouds,13.3154,12.6113,ProDAF/Diffa
445,San Quintin,MX,73.29,overcast clouds,30.4833,-115.95,Don Eddie's Landing
446,Placido De Castro,BR,79.86,broken clouds,-10.3353,-67.1856,Hotel Carioca
447,Carutapera,BR,77.18,overcast clouds,-1.195,-46.02,Lidera
449,Migori,KE,63.79,overcast clouds,-1.0634,34.4731,"Calabash Hotel, Migori"
450,Aguimes,ES,62.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
454,Burnie,AU,64.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
455,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
456,Chuy,UY,68.36,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
458,Kokopo,PG,79.05,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
460,Mandiana,GN,76.21,clear sky,10.6333,-8.6833,Motels rouzo
462,Ilo,PE,71.06,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
463,Cape Canaveral,US,80.19,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
464,Sorong,ID,78.24,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
468,Teguise,ES,61.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
469,Jardim,BR,86.7,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
470,Mali,GN,61.83,clear sky,12.079,-12.2982,Hotel La Dame de Mali
474,Pahrump,US,73.51,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
475,Quang Ngai,VN,72.57,overcast clouds,15.1167,108.8,Central Hotel
477,Matina,CR,80.47,broken clouds,10.0761,-83.2895,Hospedaje Lawson
478,Santiago Del Estero,AR,74.66,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
480,Waipawa,NZ,50.63,light rain,-41.4122,175.5153,Tora Coastal Walk
481,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
485,Sungairaya,ID,75.2,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
487,Guatire,VE,81.1,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
489,Tahta,EG,53.71,clear sky,26.7693,31.5021,shady waheed
493,Parintins,BR,75.33,light rain,-2.6283,-56.7358,Cama e Cafe
494,San Ramon,US,80.71,clear sky,37.7799,-121.978,San Ramon Marriott
495,Clarence Town,AU,72.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
497,Nabire,ID,76.14,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
498,Arinos,BR,70.07,overcast clouds,-15.9169,-46.1056,casa do bruno
499,Pinhao,BR,69.1,broken clouds,-25.6956,-51.6597,Pinhão Park Hotel
506,Damietta,EG,58.89,clear sky,31.4165,31.8133,SULIMAN INN
507,Port-Gentil,GA,80.15,light rain,-0.7193,8.7815,Fengshui Residence
508,Suratgarh,IN,57.99,clear sky,29.3167,73.9,Maharaja Hotel
510,Bandarbeyla,SO,75.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
511,Filadelfia,US,55.65,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
513,Havelock,US,62.58,broken clouds,34.8791,-76.9013,Sherwood Motel
514,Tual,ID,83.01,few clouds,-5.6667,132.75,Grand Vilia Hotel
519,San Jose,US,83.59,scattered clouds,37.3394,-121.895,The Westin San Jose
521,Bodden Town,KY,84.0,few clouds,19.2833,-81.25,Will T Place
523,Sirpur,IN,58.87,broken clouds,19.4833,79.6,Nandu Patel
526,Alexandria,EG,53.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
529,Sangmelima,CM,67.32,scattered clouds,2.9333,11.9833,gamestar hotel
530,Pekalongan,ID,79.02,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
531,Ilheus,BR,82.22,few clouds,-14.7889,-39.0494,Barravento Hotel
533,Fare,PF,81.36,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
536,Mae Chan,TH,57.24,broken clouds,20.1467,99.8526,Kiang Dao Resort
537,Monrovia,LR,80.37,clear sky,6.3005,-10.7969,Sunset Inn
538,Pinas,EC,74.32,moderate rain,-3.6667,-79.65,Hostería Florecer
540,Sarankhola,BD,56.61,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
541,Grajau,BR,73.11,scattered clouds,-5.8194,-46.1386,Hotel Confiança
544,Betanzos,ES,51.1,few clouds,43.2804,-8.2147,Hotel Garelos Betanzos
548,General Roca,AR,84.6,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
549,Tres Arroyos,AR,59.77,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
551,Bacolod,PH,76.87,broken clouds,10.6667,122.95,Planta Hotel & Residences
557,Tura,IN,53.53,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
558,Ambunti,PG,76.41,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
560,Porbandar,IN,66.81,clear sky,21.6422,69.6093,Lords Inn Porbandar
561,Dillon,US,67.01,overcast clouds,34.4166,-79.3712,Dillon Express Inn
563,Itoman,JP,70.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
564,Paso De Los Toros,UY,66.15,overcast clouds,-32.8167,-56.5167,Complejo Isabelino
566,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
567,Sibolga,ID,74.89,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
568,Kampot,KH,73.45,broken clouds,10.6167,104.1833,Two Moons Hotel
569,Talara,PE,74.61,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
571,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
572,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
573,Half Moon Bay,US,82.63,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
574,Kongolo,CD,69.31,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
575,Colesberg,ZA,75.09,scattered clouds,-30.72,25.0972,Bhelekazi Guesthouse
577,Makakilo City,US,79.29,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
